name,ipc,l3_mpki,l3_acpki,mem_bwdth,avg_l2_miss_stalls,tot_l2_miss_stalls,l2_miss_stalls_pros_tot_cycles,l3_mpki_pros_l3_acpki,noise,sensitivity
500.perlbench_r,2.3809448819,0.0666542905,3.4266933078,18.7960629921,120328674.833333,15883385078,0.4040119254,0.01945149,0,2
502.gcc_r,1.1044666667,8.4985356937,26.3203499545,1355.9066666667,810154675.553333,121523201333,0.3708869365,0.3228884004,1,2
520.omnetpp_r,0.9545490982,5.2596025206,26.061055059,722.49498998,738469213.978088,370711545417,0.3363502623,0.2018184801,1,2
557.xz_r,1.1849350649,1.296271263,9.8229276114,360.175974026,539233822.903226,83581242550,0.2467218424,0.1319638416,1,2
505.mcf_r,0.8589306931,16.2422593948,61.4115915245,2267.515049505,415338174.65286,210576454549,0.1891692684,0.2644819812,2,2
507.cactuBSSN_r,1.3397263682,4.2306135136,11.8390592709,1195.6502487562,177662457.245614,70887320441,0.0812440999,0.3573437227,1,1
523.xalancbmk_r,1.2533189655,0.2953530005,30.7903881541,49.375862069,681847104.021231,321149985994,0.3106008865,0.0095923767,1,1
526.blender_r,1.7473763441,0.4954928195,5.095086564,149.3804301075,94127872.7708779,43957716584,0.0428973617,0.0972491465,1,1
527.cam4_r,1.8343555556,0.9097621447,10.5701874612,388.0173333333,41986415.5428994,28382816907,0.0191172282,0.0860686859,1,1
510.parest_r,1.7742396313,0.3709968591,26.8390299913,101.5275345622,35500571.2640643,30920997571,0.0161617677,0.0138230353,1,1
519.lbm_r,1.429956427,13.6688918598,28.1542833467,3713.577124183,5811271.76572668,2678996284,0.0026472338,0.4854995487,2,1
541.leela_r,1.2633290155,0.0004197069,0.8315187009,0.4444300518,5343637.94437258,4130632131,0.0024324934,0.0005047474,0,0
538.imagick_r,2.9460165975,0.0050349656,0.6343469933,4.6757952974,2853409.32872928,2065868354,0.0012992171,0.007937242,0,0
511.povray_r,2.1861200586,0.0002573055,0.9217486461,0.4538799414,5470615.19912152,3736430181,0.0024910742,0.0002791493,0,0
531.deepsjeng_r,1.6857715431,0.4216835542,0.8524077199,147.7769539078,105096414.944,52548207472,0.047868072,0.4946970145,0,0
508.namd_r,2.4375555556,0.3924047162,1.0129825064,147.1361111111,5499249.82596685,1990728437,0.0025071315,0.3873756099,0,0
548.exchange2_r,2.3097126437,0.0001957474,0.0030681228,0.4095402299,208131.407110092,181490587,9.47178721342373E-05,0.06380038,0,0
619.lbm_s,0.7782928739,31.8226301183,92.649233221,4780.7503132342,18853808.8551292,48152627816,0.0085736049,0.3434742956,2,1
631.deepsjeng_s,1.6330679934,1.0232072863,1.5940940189,410.1593698176,156386905.542289,94301304042,0.0712180121,0.6418738632,0,0
657.xz_s,1.522417154,0.444628056,4.9804826012,206.0428849903,145896284.121507,224534381263,0.0663717333,0.0892740908,1,2
620.omnetpp_s,0.9516302187,5.3805362355,25.9384187518,559.7564612326,724263591.469185,364304586509,0.3302156827,0.2074350132,1,2
605.mcf_s,0.777004008,17.6506282942,88.4279456741,2187.6497995992,521840193.728457,520796513341,0.2374626673,0.1996046404,2,1
602.gcc_s,0.7840989946,12.2395310159,34.5295058155,1313.9650425367,790328345.962877,1021894551330,0.3597326628,0.3544658612,1,2
628.pop2_s,1.9829730762,2.9427417032,13.0979826134,1173.925835402,46937301.9240023,245810650176,0.0213698094,0.2246713704,0,0
607.cactuBSSN_s,1.2035915493,6.1710016074,21.3757605879,1320.1342632719,339585793.706392,1253750750364,0.1544182408,0.2886915571,1,1
623.xalancbmk_s,1.260625,0.3202542073,30.3490065579,58.80625,666779928.943966,309385887030,0.3039738096,0.0105523786,1,1
600.perlbench_s,2.4081896552,0.0055848228,2.2351007465,4.6987068966,45391447.3405172,10530815783,0.0208205476,0.0024986895,0,1
638.imagick_s,3.0207483404,0.0346835057,8.9120791379,23.6388999052,34143752.61945,396033386633,0.0155221326,0.0038917412,0,0
644.nab_s,1.6369381107,0.4947786259,3.0104780514,104.0753643065,11361588.9115378,66272148121,0.0051654583,0.1643521784,0,0
603.bwaves_s,2.5616453567,4.1976291404,6.0068159314,1812.259589502,19627718.5087483,116667158816,0.0089233394,0.6988110154,1,0
648.exchange2_s,2.30395189,0.0004059275,0.0059124994,0.8256586483,226036.328751432,197329715,0.0001028754,0.0686558227,0,0
654.roms_s,2.2422392303,6.833855623,26.5566161357,2691.0028427728,135753088.402799,620798873266,0.0617210257,0.2573315662,2,2
641.leela_s,1.2634411384,0.0008396662,0.8540384296,0.6816300129,5837345.56015524,4512268118,0.0026573412,0.0009831715,0,0
stream,1.452781457,38.0175429837,66.204452278,13336.1569536424,610557691.145695,92194211363,0.2793803935,0.5742445059,2,1
hpcg,1.8902020202,28.3057833505,46.3585424352,9011.9222222222,161376268.89899,15976250621,0.0741013256,0.6105839801,2,1
jacobi-2d-xlarge,3.0405,5.7912693641,6.2593291535,3309.98,4244934.15,84898683,0.0020310585,0.9252220521,2,1
jacobi-2d-xlarge3,3.1897669623,5.818497089,8.9421141371,3562.9910909466,3938099.62796453,19095845096,0.0017904166,0.6506847262,2,1
