name,ipc,l3_mpki,l3_acpki,mem_bwdth,avg_l2_miss_stalls,tot_l2_miss_stalls,l2_miss_stalls_pros_tot_cycles,l3_mpki_pros_l3_acpki,noise,sensitivity
400.perlbench.1,2.39822,0.00690592,2.6155,51.01,10823620128,10823620128,0.024782,0.00264038,0,0
400.perlbench.2,2.65013,0.110488,1.84919,136.83,1726199175,1726199175,0.0127122,0.059749,0,0
400.perlbench.3,2.9513,0.165538,1.63975,218.71,3469376141,3469376141,0.0156996,0.100953,0,0
401.bzip2.1,1.49259,0.125959,9.56942,121.51,12215815933,12215815933,0.0450456,0.0131627,0,0
401.bzip2.2,2.02779,0.0458508,9.49942,92.27,5206145327,5206145327,0.0601068,0.00482669,0,0
401.bzip2.3,2.25566,0.0226612,15.7132,74.43,7377905782,7377905782,0.0561245,0.00144218,0,0
401.bzip2.4,1.83795,0.107686,4.83618,124.89,8229846327,8229846327,0.0284507,0.0222668,0,0
401.bzip2.5,2.02882,0.075669,8.25997,113.60,18614428324,18614428324,0.0613334,0.00916092,0,0
401.bzip2.6,1.5534,0.114412,9.7212,119.10,9664001757,9664001757,0.0461832,0.0117693,0,0
403.gcc.1,1.52048,1.84382,34.6588,597.02,6848032122,6848032122,0.140347,0.0531993,0,0
403.gcc.2,1.51102,1.11875,14.4994,372.27,12453542168,12453542168,0.13256,0.0771582,0,0
403.gcc.3,1.54409,1.50611,36.9626,532.86,6624339506,6624339506,0.076675,0.0407469,0,0
403.gcc.4,1.71416,1.62132,27.5085,602.54,5259941294,5259941294,0.0902592,0.0589388,0,0
403.gcc.5,1.61803,2.64468,34.8093,874.52,7766600945,7766600945,0.114982,0.0759763,0,0
403.gcc.6,1.5529,2.97836,35.3468,929.65,11421572925,11421572925,0.1191,0.0842611,0,0
403.gcc.7,1.55037,7.71198,41.466,2028.35,18807479815,18807479815,0.164683,0.185983,0,0
403.gcc.8,1.54879,3.64468,40.4109,1111.37,13111939797,13111939797,0.124166,0.0901905,0,0
403.gcc.9,1.50983,0.565085,10.9839,213.23,3289554851,3289554851,0.0903722,0.0514465,0,0
410.bwaves.1,2.44279,13.2137,20.5611,6108.76,23929331254,23929331254,0.0267396,0.642654,0,0
416.gamess.1,2.78621,0.000397029,0.457442,58.18,100753555,100753555,0.000766357,0.000867934,0,0
416.gamess.2,3.04102,0.000614779,0.97118,64.52,42393279,42393279,0.00142538,0.000633023,0,0
416.gamess.3,3.04589,0.000236901,0.728616,63.91,396958574,396958574,0.00115882,0.000325138,0,0
429.mcf.1,0.531359,27.6914,115.934,2443.47,277043418682,277043418682,0.482042,0.238855,0,0
433.milc.1,1.23397,25.2644,31.3274,5796.81,483678940271,483678940271,0.500271,0.806463,0,0
434.zeusmp.1,1.95828,4.49835,7.3431,1918.63,115851920791,115851920791,0.124985,0.612595,0,0
435.gromacs.1,2.39387,0.000206917,3.70987,64.48,16199024003,16199024003,0.018719,5.57747e-05,0,0
436.cactusADM.1,1.93096,2.23281,5.42638,976.02,39382961869,39382961869,0.0273061,0.411473,0,0
437.leslie3d.1,2.1332,10.3026,30.3302,5460.18,26521521050,26521521050,0.0372858,0.339682,0,0
444.namd.1,2.24043,0.0101036,0.438495,51.27,1102564027,1102564027,0.00109646,0.0230415,0,0
445.gobmk.1,1.20427,0.160664,3.25205,106.81,3595699212,3595699212,0.0194692,0.049404,0,0
445.gobmk.2,1.25287,0.123323,2.27365,109.34,7084734828,7084734828,0.0150043,0.0542401,0,0
445.gobmk.3,1.34456,0.830806,4.0835,382.37,2644927973,2644927973,0.0116206,0.203454,0,0
445.gobmk.4,1.21639,0.231211,2.76073,135.09,2744279566,2744279566,0.0149918,0.0837498,0,0
445.gobmk.5,1.2753,0.115561,1.87211,107.05,2643400029,2643400029,0.0105288,0.0617275,0,0
447.dealII.1,2.37565,2.11618,14.4686,968.90,32901920776,32901920776,0.0404608,0.14626,0,0
450.soplex.1,1.16375,2.06573,56.8508,559.46,47562656048,47562656048,0.164713,0.0363359,0,0
450.soplex.2,1.48043,22.9259,36.547,5974.79,34780532841,34780532841,0.146907,0.627298,0,0
453.povray.1,2.36825,0.000216423,1.37087,63.61,1268704962,1268704962,0.00316136,0.000157873,0,0
454.calculix.1,3.15625,0.0851258,2.58456,138.32,19604578834,19604578834,0.0100355,0.0329363,0,0
456.hmmer.1,2.64696,0.00659475,3.69933,56.55,292186886,292186886,0.00088317,0.00178269,0,0
456.hmmer.2,2.57478,0.000130518,3.14193,62.70,339448097,339448097,0.000471972,4.15408e-05,0,0
458.sjeng.1,1.55131,0.320844,0.934208,187.13,69624421185,69624421185,0.0489369,0.34344,0,0
